,dataset,prefix,sampling,encoding,classifier,train_type,status
279,BPI11/f3/60-80_80-100,30,all_in_one,simpleIndex,multinomialNB,incremental,OK
280,BPI11/f3/0-40_80-100,30,all_in_one,complex,SGDClassifier,traditional,OK
281,BPI11/f3/0-60_80-100,30,all_in_one,complex,SGDClassifier,traditional,OK
282,BPI11/f3/0-80_80-100,30,all_in_one,complex,SGDClassifier,traditional,OK
283,BPI11/f3/40-60_80-100,30,all_in_one,complex,SGDClassifier,incremental,OK
284,BPI11/f3/60-80_80-100,30,all_in_one,complex,SGDClassifier,incremental,OK
285,BPI11/f3/0-40_80-100,30,all_in_one,simpleIndex,SGDClassifier,traditional,OK
286,BPI11/f3/0-60_80-100,30,all_in_one,simpleIndex,SGDClassifier,traditional,OK
287,BPI11/f3/0-80_80-100,30,all_in_one,simpleIndex,SGDClassifier,traditional,OK
288,BPI11/f3/40-60_80-100,30,all_in_one,simpleIndex,SGDClassifier,incremental,OK
289,BPI11/f3/60-80_80-100,30,all_in_one,simpleIndex,SGDClassifier,incremental,OK
290,BPI11/f3/0-40_80-100,30,all_in_one,complex,perceptron,traditional,OK
291,BPI11/f3/0-60_80-100,30,all_in_one,complex,perceptron,traditional,OK
292,BPI11/f3/0-80_80-100,30,all_in_one,complex,perceptron,traditional,OK
293,BPI11/f3/40-60_80-100,30,all_in_one,complex,perceptron,incremental,OK
294,BPI11/f3/60-80_80-100,30,all_in_one,complex,perceptron,incremental,OK
295,BPI11/f3/0-40_80-100,30,all_in_one,simpleIndex,perceptron,traditional,OK
296,BPI11/f3/0-60_80-100,30,all_in_one,simpleIndex,perceptron,traditional,OK
297,BPI11/f3/0-80_80-100,30,all_in_one,simpleIndex,perceptron,traditional,OK
298,BPI11/f3/40-60_80-100,30,all_in_one,simpleIndex,perceptron,incremental,OK
299,BPI11/f3/60-80_80-100,30,all_in_one,simpleIndex,perceptron,incremental,OK
300,BPI11/f3/0-40_80-100,50,all_in_one,complex,multinomialNB,traditional,OK
301,BPI11/f3/0-60_80-100,50,all_in_one,complex,multinomialNB,traditional,OK
302,BPI11/f3/0-80_80-100,50,all_in_one,complex,multinomialNB,traditional,OK
303,BPI11/f3/40-60_80-100,50,all_in_one,complex,multinomialNB,incremental,OK
304,BPI11/f3/60-80_80-100,50,all_in_one,complex,multinomialNB,incremental,OK
305,BPI11/f3/0-40_80-100,50,all_in_one,simpleIndex,multinomialNB,traditional,OK
306,BPI11/f3/0-60_80-100,50,all_in_one,simpleIndex,multinomialNB,traditional,OK
307,BPI11/f3/0-80_80-100,50,all_in_one,simpleIndex,multinomialNB,traditional,OK
308,BPI11/f3/40-60_80-100,50,all_in_one,simpleIndex,multinomialNB,incremental,OK
309,BPI11/f3/60-80_80-100,50,all_in_one,simpleIndex,multinomialNB,incremental,OK
